unique_id,expected_weekly_demand,total_available_stock,total_expected_writeoff,max_expiry_risk_score,worst_expiry_risk,batches_count
MED005_DC002,346.15000000000003,521.9400000000002,73.0,1.0,CRITICAL,16
MED005_DC003,346.15000000000003,429.2900000000004,61.0,1.0,CRITICAL,17
MED005_DC004,346.15000000000003,829.6999999999998,100.0,1.0,CRITICAL,17
MED005_DC005,346.15000000000003,914.86,130.0,1.0,CRITICAL,20
MED005_DC006,346.15000000000003,621.2800000000002,81.0,1.0,CRITICAL,17
MED005_DC007,346.15000000000003,464.8600000000001,66.0,0.41000000000000003,LOW,18
MED005_DC008,346.15000000000003,537.0799999999998,74.0,1.0,CRITICAL,17
MED006_DC001,180.6,384.0599999999999,48.0,1.0,CRITICAL,18
MED006_DC002,180.6,334.479999999999,44.0,1.0,CRITICAL,16
MED006_DC003,180.6,228.95,33.0,1.0,CRITICAL,16
MED006_DC004,180.6,432.93999999999994,53.0,1.0,CRITICAL,20
MED006_DC005,180.6,525.18,75.0,1.0,CRITICAL,23
MED006_DC006,180.6,542.47,76.0,1.0,CRITICAL,15
MED006_DC007,180.6,340.8599999999999,44.0,1.0,CRITICAL,16
MED006_DC008,180.6,464.83000000000015,66.0,1.0,CRITICAL,20
MED007_DC001,437.35999999999996,1069.46,152.0,0.37000000000000005,LOW,22
MED007_DC002,437.35999999999996,596.0000000000001,85.0,0.31,LOW,20
MED007_DC003,437.35999999999996,446.9199999999996,64.0,0.37000000000000005,LOW,20
MED007_DC004,437.35999999999996,684.0900000000006,94.0,0.31,LOW,20
MED007_DC005,437.35999999999996,914.8600000000001,115.0,0.31,LOW,20
MED007_DC006,437.35999999999996,1045.5899999999997,127.0,0.31,LOW,23
MED007_DC007,437.35999999999996,861.0799999999999,110.0,0.37000000000000005,LOW,22
MED007_DC008,437.35999999999996,1068.2400000000002,152.0,0.41000000000000003,LOW,21
MED008_DC001,843.2199999999999,1413.99,191.0,0.41000000000000003,LOW,25
MED008_DC002,843.2199999999999,949.79,135.0,0.37000000000000005,LOW,24
MED008_DC003,843.2199999999999,760.8299999999999,68.0,0.43000000000000005,LOW,25
MED008_DC004,843.2199999999999,1555.6100000000001,204.0,0.31,LOW,23
MED008_DC005,843.2199999999999,1472.540000000001,196.0,0.43000000000000005,LOW,22
MED008_DC006,843.2199999999999,2152.26,307.0,0.37000000000000005,LOW,22
MED008_DC007,843.2199999999999,1688.139999999999,215.0,0.31,LOW,22
MED008_DC008,843.2199999999999,1496.7300000000005,198.0,0.23,LOW,22
MED009_DC001,956.5500000000001,1261.9499999999994,180.0,0.23,LOW,25
MED009_DC002,956.5500000000001,1744.0299999999988,229.0,0.31,LOW,25
MED009_DC003,956.5500000000001,1211.5600000000002,173.0,0.15,LOW,24
MED009_DC004,956.5500000000001,1635.6899999999991,219.0,0.23,LOW,22
MED009_DC005,956.5500000000001,2477.0099999999998,298.0,0.31,LOW,23
MED009_DC006,956.5500000000001,2402.7799999999993,288.0,0.23,LOW,22
MED009_DC007,956.5500000000001,1340.2699999999998,191.0,0.23,LOW,22
MED009_DC008,956.5500000000001,1872.71,241.0,0.31,LOW,22
MED010_DC001,384.09,578.6400000000004,57.0,0.1025,LOW,19
MED010_DC002,384.09,677.2999999999998,62.0,0.1025,LOW,18
MED010_DC003,384.09,850.59,71.0,0.1025,LOW,16
MED010_DC004,384.09,917.4399999999997,74.0,0.1025,LOW,18
MED010_DC005,384.09,664.54,62.0,0.1025,LOW,22
MED010_DC006,384.09,1202.83,117.0,0.1025,LOW,20
MED010_DC007,384.09,509.1999999999996,52.0,0.1025,LOW,17
MED010_DC008,384.09,807.3199999999999,69.0,0.1025,LOW,19
MED011_DC001,364.34999999999997,806.25,100.0,1.0,CRITICAL,22
MED011_DC002,364.34999999999997,710.23,91.0,0.31,LOW,21
MED011_DC003,364.34999999999997,613.2800000000001,82.0,0.41000000000000003,LOW,18
MED011_DC004,364.34999999999997,986.8100000000001,141.0,1.0,CRITICAL,21
MED011_DC005,364.34999999999997,635.9,84.0,0.37000000000000005,LOW,22
MED011_DC006,364.34999999999997,900.4499999999998,128.0,1.0,CRITICAL,20
MED011_DC007,364.34999999999997,571.8500000000001,79.0,0.43000000000000005,LOW,22
MED011_DC008,364.34999999999997,852.6500000000001,104.0,0.37000000000000005,LOW,21
MED012_DC001,623.0,1323.9699999999996,166.0,1.0,CRITICAL,20
MED012_DC002,623.0,644.1400000000004,92.0,1.0,CRITICAL,19
MED012_DC003,623.0,1297.1799999999996,164.0,1.0,CRITICAL,18
MED012_DC004,623.0,1614.1200000000008,230.0,1.0,CRITICAL,22
MED012_DC005,623.0,1270.7599999999993,184.0,1.0,CRITICAL,22
MED012_DC006,623.0,1681.81,240.0,1.0,CRITICAL,18
MED012_DC007,623.0,1139.3600000000001,164.0,1.0,CRITICAL,20
MED012_DC008,623.0,1048.57,151.0,1.0,CRITICAL,18
MED013_DC001,252.42000000000002,477.8500000000001,62.0,0.31,LOW,19
MED013_DC002,252.42000000000002,560.8699999999999,69.0,0.41000000000000003,LOW,20
MED013_DC003,252.42000000000002,512.3500000000004,65.0,0.31,LOW,19
MED013_DC004,252.42000000000002,408.37,55.0,0.37000000000000005,LOW,17
MED013_DC005,252.42000000000002,450.12999999999994,59.0,0.31,LOW,19
MED013_DC006,252.42000000000002,560.1800000000001,69.0,0.41000000000000003,LOW,20
MED013_DC007,252.42000000000002,408.55000000000007,55.0,0.41000000000000003,LOW,20
MED013_DC008,252.42000000000002,531.7800000000002,66.0,0.23,LOW,20
MED014_DC001,306.18,620.7999999999998,79.0,1.0,CRITICAL,19
MED014_DC002,306.18,458.2499999999996,64.0,1.0,CRITICAL,20
MED014_DC003,306.18,407.34,58.0,0.31,LOW,20
MED014_DC004,306.18,526.35,70.0,0.31,LOW,21
MED014_DC005,306.18,589.9699999999999,76.0,0.31,LOW,21
MED014_DC006,306.18,645.2,81.0,1.0,CRITICAL,19
MED014_DC007,306.18,377.3100000000005,54.0,0.41000000000000003,LOW,22
MED014_DC008,306.18,780.3299999999996,111.0,0.31,LOW,20
MED015_DC001,871.5,1263.4399999999998,129.0,0.15,LOW,24
MED015_DC002,871.5,1269.040000000001,129.0,0.23,LOW,26
MED015_DC003,871.5,852.5,43.0,0.23,LOW,24
MED015_DC004,871.5,1978.9100000000008,165.0,0.23,LOW,23
MED015_DC005,871.5,2377.340000000001,244.0,0.23,LOW,23
MED015_DC006,871.5,1542.8199999999993,143.0,0.15,LOW,22
MED015_DC007,871.5,1824.3600000000006,157.0,0.23,LOW,23
MED015_DC008,871.5,1626.2600000000002,147.0,0.23,LOW,22
MED016_DC001,317.45,648.7699999999999,83.0,1.0,CRITICAL,16
MED016_DC002,317.45,681.1400000000001,85.0,1.0,CRITICAL,15
MED016_DC003,317.45,435.2699999999997,62.0,1.0,CRITICAL,16
MED016_DC004,317.45,435.19000000000034,62.0,1.0,CRITICAL,19
MED016_DC005,317.45,920.7299999999998,131.0,1.0,CRITICAL,22
MED016_DC006,317.45,855.7100000000003,122.0,1.0,CRITICAL,17
MED016_DC007,317.45,596.1800000000003,78.0,1.0,CRITICAL,18
MED016_DC008,317.45,814.5199999999998,116.0,1.0,CRITICAL,17
MED017_DC001,204.19,233.8700000000001,24.0,0.1025,LOW,19
MED017_DC002,204.19,436.23000000000036,37.0,0.1025,LOW,19
MED017_DC003,204.19,351.78000000000003,33.0,0.1025,LOW,18
MED017_DC004,204.19,315.05000000000047,31.0,0.15,LOW,18
MED017_DC005,204.19,584.3399999999997,60.0,0.1025,LOW,20
MED017_DC006,204.19,504.84000000000043,52.0,0.15,LOW,15
MED017_DC007,204.19,309.42999999999984,31.0,0.15,LOW,18
MED017_DC008,204.19,533.7800000000001,55.0,0.15,LOW,18
MED018_DC001,300.3,363.4399999999997,37.0,0.1025,LOW,22
MED018_DC002,300.3,444.12000000000006,45.0,0.15,LOW,19
MED018_DC003,300.3,560.1399999999999,51.0,0.1025,LOW,19
MED018_DC004,300.3,468.75,46.0,0.15,LOW,20
MED018_DC005,300.3,718.3199999999999,58.0,0.15,LOW,21
MED018_DC006,300.3,616.5500000000002,53.0,0.15,LOW,20
MED018_DC007,300.3,650.7300000000002,55.0,0.15,LOW,20
MED018_DC008,300.3,585.45,52.0,0.15,LOW,20
MED019_DC001,426.3,1005.2300000000005,82.0,0.1025,LOW,22
MED019_DC002,426.3,910.5300000000001,77.0,0.1025,LOW,22
MED019_DC003,426.3,518.71,53.0,0.1025,LOW,20
MED019_DC004,426.3,698.4600000000002,66.0,0.1025,LOW,20
MED019_DC005,426.3,1033.78,83.0,0.1025,LOW,24
MED019_DC006,426.3,734.8700000000005,68.0,0.1025,LOW,20
MED019_DC007,426.3,535.3900000000001,55.0,0.1025,LOW,20
MED019_DC008,426.3,927.5400000000002,78.0,0.1025,LOW,22
MED020_DC001,263.27,496.9900000000002,65.0,0.31,LOW,21
MED020_DC002,263.27,563.07,71.0,1.0,CRITICAL,20
MED020_DC003,263.27,494.0499999999998,65.0,0.31,LOW,17
MED020_DC004,263.27,594.3399999999999,74.0,1.0,CRITICAL,20
MED020_DC005,263.27,601.5399999999997,74.0,0.37000000000000005,LOW,19
MED020_DC006,263.27,592.1000000000003,73.0,1.0,CRITICAL,20
MED020_DC007,263.27,605.77,75.0,0.37000000000000005,LOW,21
MED020_DC008,263.27,701.1799999999998,100.0,1.0,CRITICAL,19
MED021_DC001,988.8199999999999,2283.64,189.0,0.1025,LOW,23
MED021_DC002,988.8199999999999,1778.04,163.0,0.1025,LOW,21
MED021_DC003,988.8199999999999,1663.5500000000002,158.0,0.1025,LOW,22
MED021_DC004,988.8199999999999,2609.270000000001,268.0,0.1025,LOW,24
MED021_DC005,988.8199999999999,1998.0099999999995,174.0,0.1025,LOW,23
MED021_DC006,988.8199999999999,2358.890000000001,192.0,0.1025,LOW,23
MED021_DC007,988.8199999999999,1546.1300000000015,152.0,0.15,LOW,23
MED021_DC008,988.8199999999999,2675.250000000001,274.0,0.1025,LOW,24
MED022_DC001,297.01,651.6499999999999,54.0,0.15,LOW,21
MED022_DC002,297.01,495.33000000000004,47.0,0.1025,LOW,22
MED022_DC003,297.01,574.02,51.0,0.15,LOW,20
MED022_DC004,297.01,513.59,47.0,0.15,LOW,21
MED022_DC005,297.01,742.9100000000005,76.0,0.15,LOW,19
MED022_DC006,297.01,558.4399999999997,50.0,0.15,LOW,20
MED022_DC007,297.01,709.4900000000005,57.0,0.15,LOW,20
MED022_DC008,297.01,408.1100000000001,42.0,0.15,LOW,20
MED023_DC001,449.40000000000003,1008.6099999999998,124.0,0.41000000000000003,LOW,18
MED023_DC002,449.40000000000003,528.57,75.0,0.37000000000000005,LOW,17
MED023_DC003,449.40000000000003,784.45,104.0,0.37000000000000005,LOW,18
MED023_DC004,449.40000000000003,1164.33,165.0,0.43000000000000005,LOW,18
MED023_DC005,449.40000000000003,1040.1999999999998,127.0,0.31,LOW,22
MED023_DC006,449.40000000000003,1134.55,161.0,0.31,LOW,19
MED023_DC007,449.40000000000003,536.8,76.0,0.23,LOW,17
MED023_DC008,449.40000000000003,1052.6200000000001,128.0,0.43000000000000005,LOW,17
MED024_DC001,241.15000000000003,592.0200000000001,60.0,0.15,LOW,19
MED024_DC002,241.15000000000003,401.80000000000007,38.0,0.1025,LOW,18
MED024_DC003,241.15000000000003,401.1099999999999,38.0,0.15,LOW,15
MED024_DC004,241.15000000000003,426.6999999999999,39.0,0.15,LOW,18
MED024_DC005,241.15000000000003,461.94000000000017,41.0,0.15,LOW,18
MED024_DC006,241.15000000000003,698.6800000000003,71.0,0.15,LOW,19
MED024_DC007,241.15000000000003,471.0100000000002,41.0,0.15,LOW,18
MED024_DC008,241.15000000000003,646.28,66.0,0.15,LOW,21
MED025_DC001,886.06,1518.8199999999995,143.0,0.15,LOW,22
MED025_DC002,886.06,1841.6999999999994,159.0,0.1025,LOW,22
MED025_DC003,886.06,1731.5700000000006,153.0,0.15,LOW,23
MED025_DC004,886.06,1431.0999999999995,138.0,0.15,LOW,22
MED025_DC005,886.06,2554.6500000000005,261.0,0.1025,LOW,23
MED025_DC006,886.06,2170.129999999999,223.0,0.15,LOW,23
MED025_DC007,886.06,1072.4500000000005,110.0,0.1025,LOW,22
MED025_DC008,886.06,1594.12,146.0,0.15,LOW,22
MED026_DC001,719.39,1330.5200000000004,120.0,0.15,LOW,21
MED026_DC002,719.39,1102.2899999999997,109.0,0.15,LOW,21
MED026_DC003,719.39,1549.9199999999996,131.0,0.15,LOW,23
MED026_DC004,719.39,1901.0799999999995,194.0,0.15,LOW,23
MED026_DC005,719.39,1937.94,198.0,0.15,LOW,22
MED026_DC006,719.39,1363.87,122.0,0.15,LOW,21
MED026_DC007,719.39,1288.25,118.0,0.15,LOW,22
MED026_DC008,719.39,1520.91,130.0,0.1025,LOW,23
MED027_DC001,629.3000000000001,804.6800000000006,82.0,0.15,LOW,22
MED027_DC002,629.3000000000001,1147.07,104.0,0.15,LOW,21
MED027_DC003,629.3000000000001,1311.9,113.0,0.15,LOW,21
MED027_DC004,629.3000000000001,1268.19,110.0,0.15,LOW,22
MED027_DC005,629.3000000000001,1112.7000000000003,103.0,0.15,LOW,21
MED027_DC006,629.3000000000001,1849.63,187.0,0.15,LOW,23
MED027_DC007,629.3000000000001,1312.1000000000004,113.0,0.15,LOW,21
MED027_DC008,629.3000000000001,1562.54,160.0,0.15,LOW,22
MED028_DC001,244.08999999999997,377.18000000000023,37.0,0.15,LOW,21
MED028_DC002,244.08999999999997,242.0000000000002,12.0,0.15,LOW,21
MED028_DC003,244.08999999999997,528.889999999999,45.0,0.15,LOW,18
MED028_DC004,244.08999999999997,502.1700000000003,44.0,0.15,LOW,18
MED028_DC005,244.08999999999997,637.05,66.0,0.1025,LOW,20
MED028_DC006,244.08999999999997,644.9100000000004,66.0,0.15,LOW,19
MED028_DC007,244.08999999999997,504.42000000000036,44.0,0.15,LOW,21
MED028_DC008,244.08999999999997,644.0999999999999,66.0,0.15,LOW,22
MED029_DC001,355.03999999999996,691.7400000000002,89.0,1.0,CRITICAL,23
MED029_DC002,355.03999999999996,485.6400000000003,69.0,1.0,CRITICAL,23
MED029_DC003,355.03999999999996,568.5400000000003,78.0,1.0,CRITICAL,23
MED029_DC004,355.03999999999996,581.5099999999998,79.0,1.0,CRITICAL,20
MED029_DC005,355.03999999999996,735.25,93.0,1.0,CRITICAL,22
MED029_DC006,355.03999999999996,1068.4399999999998,149.0,1.0,CRITICAL,20
MED029_DC007,355.03999999999996,430.79000000000025,61.0,1.0,CRITICAL,19
MED029_DC008,355.03999999999996,480.05,68.0,1.0,CRITICAL,21
MED030_DC001,244.72,600.0300000000004,86.0,1.0,CRITICAL,15
MED030_DC002,244.72,472.0000000000001,61.0,1.0,CRITICAL,18
MED030_DC003,244.72,342.99999999999994,49.0,1.0,CRITICAL,17
MED030_DC004,244.72,627.03,89.0,0.37000000000000005,LOW,16
MED030_DC005,244.72,600.5199999999998,86.0,1.0,CRITICAL,20
MED030_DC006,244.72,510.9900000000001,64.0,1.0,CRITICAL,16
MED030_DC007,244.72,344.97000000000025,49.0,1.0,CRITICAL,16
MED030_DC008,244.72,457.64000000000004,60.0,1.0,CRITICAL,16
MED031_DC001,242.06,483.51000000000033,61.0,1.0,CRITICAL,20
MED031_DC002,242.06,488.21000000000004,62.0,1.0,CRITICAL,22
MED031_DC003,242.06,278.30999999999995,40.0,1.0,CRITICAL,18
MED031_DC004,242.06,392.9000000000002,53.0,1.0,CRITICAL,19
MED031_DC005,242.06,631.5399999999998,90.0,1.0,CRITICAL,19
MED031_DC006,242.06,753.0999999999998,103.0,1.0,CRITICAL,21
MED031_DC007,242.06,483.97999999999945,61.0,1.0,CRITICAL,19
MED031_DC008,242.06,384.9799999999997,53.0,1.0,CRITICAL,18
MED032_DC001,288.82,407.70999999999975,58.0,1.0,CRITICAL,20
MED032_DC002,288.82,547.22,71.0,1.0,CRITICAL,20
MED032_DC003,288.82,627.76,78.0,1.0,CRITICAL,21
MED032_DC004,288.82,527.8400000000001,69.0,1.0,CRITICAL,20
MED032_DC005,288.82,566.6200000000001,73.0,1.0,CRITICAL,20
MED032_DC006,288.82,502.41999999999996,67.0,1.0,CRITICAL,19
MED032_DC007,288.82,631.3400000000001,79.0,1.0,CRITICAL,19
MED032_DC008,288.82,648.81,80.0,1.0,CRITICAL,20
MED033_DC001,309.12,696.8599999999998,86.0,0.37000000000000005,LOW,19
MED033_DC002,309.12,597.3199999999999,77.0,1.0,CRITICAL,20
MED033_DC003,309.12,413.94999999999976,59.0,0.37000000000000005,LOW,18
MED033_DC004,309.12,771.8599999999999,110.0,0.31,LOW,21
MED033_DC005,309.12,821.5700000000002,117.0,0.31,LOW,20
MED033_DC006,309.12,883.56,126.0,0.31,LOW,22
MED033_DC007,309.12,411.1599999999998,59.0,1.0,CRITICAL,20
MED033_DC008,309.12,684.7300000000002,85.0,0.43000000000000005,LOW,20
MED034_DC001,725.41,1404.6600000000012,124.0,0.15,LOW,25
MED034_DC002,725.41,1399.81,124.0,0.15,LOW,25
MED034_DC003,725.41,1628.5999999999997,136.0,0.23,LOW,25
MED034_DC004,725.41,1213.1599999999996,115.0,0.15,LOW,22
MED034_DC005,725.41,1133.4200000000003,111.0,0.15,LOW,21
MED034_DC006,725.41,1496.2900000000004,129.0,0.15,LOW,22
MED034_DC007,725.41,1064.8900000000003,107.0,0.15,LOW,21
MED034_DC008,725.41,1051.29,107.0,0.15,LOW,21
MED035_DC001,326.13,684.3200000000002,86.0,1.0,CRITICAL,23
MED035_DC002,326.13,635.5699999999997,81.0,1.0,CRITICAL,21
MED035_DC003,326.13,462.0000000000002,66.0,1.0,CRITICAL,19
MED035_DC004,326.13,484.54,68.0,1.0,CRITICAL,22
MED035_DC005,326.13,596.4200000000001,78.0,1.0,CRITICAL,22
MED035_DC006,326.13,778.9900000000005,94.0,1.0,CRITICAL,19
MED035_DC007,326.13,793.12,113.0,1.0,CRITICAL,21
MED035_DC008,326.13,757.1200000000001,92.0,1.0,CRITICAL,20
MED036_DC001,529.06,900.2200000000006,84.0,0.15,LOW,23
MED036_DC002,529.06,519.53,26.0,0.15,LOW,21
MED036_DC003,529.06,467.1899999999992,23.0,0.15,LOW,22
MED036_DC004,529.06,1304.3,133.0,0.15,LOW,22
MED036_DC005,529.06,900.8199999999997,84.0,0.15,LOW,22
MED036_DC006,529.06,1091.3499999999997,94.0,0.15,LOW,22
MED036_DC007,529.06,1163.9799999999996,97.0,0.15,LOW,23
MED036_DC008,529.06,735.8500000000007,75.0,0.15,LOW,21
MED037_DC001,955.29,2001.2399999999998,290.0,1.0,CRITICAL,25
MED037_DC002,955.29,1418.7299999999996,284.0,1.0,CRITICAL,24
MED037_DC003,955.29,1354.1,274.0,1.0,CRITICAL,24
MED037_DC004,955.29,1245.6500000000003,252.0,1.0,CRITICAL,22
MED037_DC005,955.29,2021.0900000000006,374.0,1.0,CRITICAL,23
MED037_DC006,955.29,2162.2200000000007,396.0,1.0,CRITICAL,22
MED037_DC007,955.29,1374.0399999999997,277.0,1.0,CRITICAL,23
MED037_DC008,955.29,2102.7200000000003,387.0,1.0,CRITICAL,22
MED038_DC001,998.5500000000001,2178.42,184.0,0.1025,LOW,22
MED038_DC002,998.5500000000001,2112.91,180.0,0.1025,LOW,22
MED038_DC003,998.5500000000001,1648.2800000000007,157.0,0.1025,LOW,22
MED038_DC004,998.5500000000001,2413.2199999999993,195.0,0.1025,LOW,22
MED038_DC005,998.5500000000001,1788.25,164.0,0.1025,LOW,23
MED038_DC006,998.5500000000001,2672.0299999999993,274.0,0.1025,LOW,22
MED038_DC007,998.5500000000001,1350.4700000000005,138.0,0.1025,LOW,21
MED038_DC008,998.5500000000001,1406.3100000000009,144.0,0.1025,LOW,22
MED039_DC001,219.73000000000002,320.03999999999985,32.0,0.15,LOW,20
MED039_DC002,219.73000000000002,333.10000000000025,33.0,0.15,LOW,20
MED039_DC003,219.73000000000002,468.19999999999914,40.0,0.15,LOW,18
MED039_DC004,219.73000000000002,418.5600000000003,37.0,0.15,LOW,20
MED039_DC005,219.73000000000002,405.43000000000006,37.0,0.15,LOW,19
MED039_DC006,219.73000000000002,460.68000000000035,39.0,0.15,LOW,19
MED039_DC007,219.73000000000002,542.4800000000002,55.0,0.15,LOW,16
MED039_DC008,219.73000000000002,588.1000000000001,60.0,0.1025,LOW,17
MED040_DC001,238.0,469.4599999999997,41.0,0.15,LOW,17
MED040_DC002,238.0,481.1899999999997,42.0,0.15,LOW,15
MED040_DC003,238.0,446.40000000000015,40.0,0.15,LOW,17
MED040_DC004,238.0,429.2699999999999,39.0,0.15,LOW,16
MED040_DC005,238.0,666.0299999999997,68.0,0.15,LOW,20
MED040_DC006,238.0,436.1700000000001,40.0,0.15,LOW,16
MED040_DC007,238.0,350.6200000000001,36.0,0.15,LOW,14
MED040_DC008,238.0,533.0300000000001,45.0,0.15,LOW,17
