order_id,order_date,sku_id,dc_id,ordered_quantity,fulfilled_quantity,status
ORD000041,2026-02-13,MED009,DC001,224.0,224.0,FULFILLED
ORD000042,2026-02-13,MED009,DC004,240.0,240.0,FULFILLED
ORD000043,2026-02-13,MED009,DC005,178.0,178.0,FULFILLED
ORD000044,2026-02-13,MED009,DC007,229.0,229.0,FULFILLED
ORD000045,2026-02-13,MED010,DC002,149.0,149.0,FULFILLED
ORD000046,2026-02-13,MED010,DC003,21.0,21.0,FULFILLED
ORD000047,2026-02-13,MED010,DC004,135.0,135.0,FULFILLED
ORD000048,2026-02-13,MED010,DC006,83.0,83.0,FULFILLED
ORD000049,2026-02-13,MED010,DC007,97.0,97.0,FULFILLED
ORD000050,2026-02-13,MED010,DC008,44.0,44.0,FULFILLED
ORD000051,2026-02-13,MED011,DC001,53.0,53.0,FULFILLED
ORD000052,2026-02-13,MED011,DC002,80.0,80.0,FULFILLED
ORD000053,2026-02-13,MED011,DC004,51.0,51.0,FULFILLED
ORD000054,2026-02-13,MED011,DC005,54.0,54.0,FULFILLED
ORD000055,2026-02-13,MED011,DC006,59.0,59.0,FULFILLED
ORD000056,2026-02-13,MED011,DC007,82.0,82.0,FULFILLED
ORD000057,2026-02-13,MED012,DC001,160.0,160.0,FULFILLED
ORD000058,2026-02-13,MED012,DC002,213.0,213.0,FULFILLED
ORD000059,2026-02-13,MED012,DC003,159.0,159.0,FULFILLED
ORD000060,2026-02-13,MED012,DC004,275.0,275.0,FULFILLED
ORD000061,2026-02-13,MED012,DC005,171.0,171.0,FULFILLED
ORD000062,2026-02-13,MED012,DC007,160.0,160.0,FULFILLED
ORD000063,2026-02-13,MED012,DC008,84.0,84.0,FULFILLED
ORD000064,2026-02-13,MED013,DC001,49.0,49.0,FULFILLED
ORD000065,2026-02-13,MED013,DC002,45.0,45.0,FULFILLED
ORD000066,2026-02-13,MED013,DC003,60.0,60.0,FULFILLED
ORD000067,2026-02-13,MED013,DC006,50.0,50.0,FULFILLED
ORD000068,2026-02-13,MED013,DC007,45.0,45.0,FULFILLED
ORD000069,2026-02-13,MED013,DC008,54.0,54.0,FULFILLED
ORD000070,2026-02-13,MED014,DC004,65.0,65.0,FULFILLED
ORD000071,2026-02-13,MED014,DC005,77.0,77.0,FULFILLED
ORD000072,2026-02-13,MED014,DC008,68.0,68.0,FULFILLED
ORD000073,2026-02-13,MED015,DC003,193.0,193.0,FULFILLED
ORD000074,2026-02-13,MED015,DC005,166.0,166.0,FULFILLED
ORD000075,2026-02-13,MED015,DC006,139.0,139.0,FULFILLED
ORD000076,2026-02-13,MED015,DC007,175.0,175.0,FULFILLED
ORD000077,2026-02-13,MED016,DC001,128.0,128.0,FULFILLED
ORD000078,2026-02-13,MED016,DC005,122.0,122.0,FULFILLED
ORD000079,2026-02-13,MED016,DC008,87.0,87.0,FULFILLED
ORD000080,2026-02-13,MED017,DC002,29.0,29.0,FULFILLED
ORD000081,2026-02-13,MED017,DC003,33.0,33.0,FULFILLED
ORD000082,2026-02-13,MED017,DC004,50.0,50.0,FULFILLED
ORD000083,2026-02-13,MED017,DC005,39.0,39.0,FULFILLED
ORD000084,2026-02-13,MED017,DC006,44.0,44.0,FULFILLED
ORD000085,2026-02-13,MED017,DC007,33.0,33.0,FULFILLED
ORD000086,2026-02-13,MED017,DC008,55.0,55.0,FULFILLED
ORD000087,2026-02-13,MED018,DC001,41.0,41.0,FULFILLED
ORD000088,2026-02-13,MED018,DC002,44.0,44.0,FULFILLED
ORD000089,2026-02-13,MED018,DC005,64.0,64.0,FULFILLED
ORD000090,2026-02-13,MED018,DC007,24.0,24.0,FULFILLED
ORD000091,2026-02-13,MED018,DC008,66.0,66.0,FULFILLED
ORD000092,2026-02-13,MED019,DC001,79.0,79.0,FULFILLED
ORD000093,2026-02-13,MED019,DC003,51.0,51.0,FULFILLED
ORD000094,2026-02-13,MED019,DC006,70.0,70.0,FULFILLED
ORD000095,2026-02-13,MED019,DC008,73.0,73.0,FULFILLED
ORD000096,2026-02-13,MED020,DC001,43.0,43.0,FULFILLED
ORD000097,2026-02-13,MED020,DC002,49.0,49.0,FULFILLED
ORD000098,2026-02-13,MED020,DC003,40.0,40.0,FULFILLED
ORD000099,2026-02-13,MED020,DC004,44.0,44.0,FULFILLED
ORD000100,2026-02-13,MED020,DC005,65.0,65.0,FULFILLED
ORD000101,2026-02-13,MED020,DC006,58.0,58.0,FULFILLED
ORD000102,2026-02-13,MED020,DC007,34.0,34.0,FULFILLED
ORD000103,2026-02-13,MED020,DC008,61.0,61.0,FULFILLED
ORD000104,2026-02-13,MED021,DC001,166.0,166.0,FULFILLED
ORD000105,2026-02-13,MED021,DC002,252.0,252.0,FULFILLED
ORD000106,2026-02-13,MED021,DC003,265.0,265.0,FULFILLED
ORD000107,2026-02-13,MED021,DC004,144.0,144.0,FULFILLED
ORD000108,2026-02-13,MED021,DC005,263.0,263.0,FULFILLED
ORD000109,2026-02-13,MED021,DC006,183.0,183.0,FULFILLED
ORD000110,2026-02-13,MED022,DC001,59.0,59.0,FULFILLED
ORD000111,2026-02-13,MED022,DC002,48.0,48.0,FULFILLED
ORD000112,2026-02-13,MED022,DC004,42.0,42.0,FULFILLED
ORD000113,2026-02-13,MED022,DC005,62.0,62.0,FULFILLED
ORD000114,2026-02-13,MED022,DC006,55.0,55.0,FULFILLED
ORD000115,2026-02-13,MED022,DC007,66.0,66.0,FULFILLED
ORD000116,2026-02-13,MED022,DC008,52.0,52.0,FULFILLED
ORD000117,2026-02-13,MED023,DC001,124.0,124.0,FULFILLED
ORD000118,2026-02-13,MED023,DC002,143.0,143.0,FULFILLED
ORD000119,2026-02-13,MED023,DC003,125.0,125.0,FULFILLED
ORD000120,2026-02-13,MED023,DC004,195.0,195.0,FULFILLED
ORD000121,2026-02-13,MED023,DC007,98.0,98.0,FULFILLED
ORD000122,2026-02-13,MED024,DC003,56.0,56.0,FULFILLED
ORD000123,2026-02-13,MED024,DC007,43.0,43.0,FULFILLED
ORD000124,2026-02-13,MED025,DC001,162.0,162.0,FULFILLED
ORD000125,2026-02-13,MED025,DC002,155.0,155.0,FULFILLED
ORD000126,2026-02-13,MED025,DC003,197.0,197.0,FULFILLED
ORD000127,2026-02-13,MED025,DC004,149.0,149.0,FULFILLED
ORD000128,2026-02-13,MED025,DC005,181.0,181.0,FULFILLED
ORD000129,2026-02-13,MED025,DC006,204.0,204.0,FULFILLED
ORD000130,2026-02-13,MED025,DC007,165.0,165.0,FULFILLED
ORD000131,2026-02-13,MED026,DC001,157.0,157.0,FULFILLED
ORD000132,2026-02-13,MED026,DC002,172.0,172.0,FULFILLED
ORD000133,2026-02-13,MED026,DC004,134.0,134.0,FULFILLED
ORD000134,2026-02-13,MED026,DC005,132.0,132.0,FULFILLED
ORD000135,2026-02-13,MED026,DC006,113.0,113.0,FULFILLED
ORD000136,2026-02-13,MED026,DC007,170.0,170.0,FULFILLED
ORD000137,2026-02-13,MED026,DC008,165.0,165.0,FULFILLED
ORD000138,2026-02-13,MED027,DC001,138.0,138.0,FULFILLED
ORD000139,2026-02-13,MED027,DC002,237.0,237.0,FULFILLED
ORD000140,2026-02-13,MED027,DC003,150.0,150.0,FULFILLED
ORD000141,2026-02-13,MED027,DC004,165.0,165.0,FULFILLED
ORD000142,2026-02-13,MED027,DC006,149.0,149.0,FULFILLED
ORD000143,2026-02-13,MED027,DC008,130.0,130.0,FULFILLED
ORD000144,2026-02-13,MED028,DC001,37.0,37.0,FULFILLED
ORD000145,2026-02-13,MED028,DC002,51.0,51.0,FULFILLED
ORD000146,2026-02-13,MED028,DC003,49.0,49.0,FULFILLED
ORD000147,2026-02-13,MED028,DC004,36.0,36.0,FULFILLED
ORD000148,2026-02-13,MED028,DC006,30.0,30.0,FULFILLED
ORD000149,2026-02-13,MED028,DC007,53.0,53.0,FULFILLED
ORD000150,2026-02-13,MED028,DC008,28.0,28.0,FULFILLED
ORD000151,2026-02-13,MED029,DC001,88.0,88.0,FULFILLED
ORD000152,2026-02-13,MED029,DC002,108.0,108.0,FULFILLED
ORD000153,2026-02-13,MED029,DC003,73.0,73.0,FULFILLED
ORD000154,2026-02-13,MED029,DC004,53.0,53.0,FULFILLED
ORD000155,2026-02-13,MED029,DC006,89.0,89.0,FULFILLED
ORD000156,2026-02-13,MED029,DC007,59.0,59.0,FULFILLED
ORD000157,2026-02-13,MED029,DC008,79.0,79.0,FULFILLED
ORD000158,2026-02-13,MED030,DC001,76.0,76.0,FULFILLED
ORD000159,2026-02-13,MED030,DC002,64.0,64.0,FULFILLED
ORD000160,2026-02-13,MED030,DC003,99.0,99.0,FULFILLED
ORD000161,2026-02-13,MED030,DC004,91.0,91.0,FULFILLED
ORD000162,2026-02-13,MED030,DC005,51.0,51.0,FULFILLED
ORD000163,2026-02-13,MED030,DC006,74.0,74.0,FULFILLED
ORD000164,2026-02-13,MED030,DC008,96.0,96.0,FULFILLED
ORD000165,2026-02-13,MED031,DC002,55.0,55.0,FULFILLED
ORD000166,2026-02-13,MED031,DC004,57.0,57.0,FULFILLED
ORD000167,2026-02-13,MED031,DC006,47.0,47.0,FULFILLED
ORD000168,2026-02-13,MED031,DC008,43.0,43.0,FULFILLED
ORD000169,2026-02-13,MED032,DC001,71.0,71.0,FULFILLED
ORD000170,2026-02-13,MED032,DC002,66.0,66.0,FULFILLED
ORD000171,2026-02-13,MED032,DC003,44.0,44.0,FULFILLED
ORD000172,2026-02-13,MED032,DC004,67.0,67.0,FULFILLED
ORD000173,2026-02-13,MED032,DC007,33.0,33.0,FULFILLED
ORD000174,2026-02-13,MED032,DC008,51.0,51.0,FULFILLED
ORD000175,2026-02-13,MED033,DC001,68.0,68.0,FULFILLED
ORD000176,2026-02-13,MED033,DC003,78.0,78.0,FULFILLED
ORD000177,2026-02-13,MED033,DC004,61.0,61.0,FULFILLED
ORD000178,2026-02-13,MED033,DC006,62.0,62.0,FULFILLED
ORD000179,2026-02-13,MED033,DC007,16.0,16.0,FULFILLED
ORD000180,2026-02-13,MED033,DC008,54.0,54.0,FULFILLED
ORD000181,2026-02-13,MED034,DC001,171.0,171.0,FULFILLED
ORD000182,2026-02-13,MED034,DC002,129.0,129.0,FULFILLED
ORD000183,2026-02-13,MED034,DC003,207.0,207.0,FULFILLED
ORD000184,2026-02-13,MED034,DC004,124.0,124.0,FULFILLED
ORD000185,2026-02-13,MED034,DC005,157.0,157.0,FULFILLED
ORD000186,2026-02-13,MED034,DC007,142.0,142.0,FULFILLED
ORD000187,2026-02-13,MED034,DC008,131.0,131.0,FULFILLED
ORD000188,2026-02-13,MED035,DC001,76.0,76.0,FULFILLED
ORD000189,2026-02-13,MED035,DC002,70.0,70.0,FULFILLED
ORD000190,2026-02-13,MED035,DC004,55.0,55.0,FULFILLED
ORD000191,2026-02-13,MED035,DC007,71.0,71.0,FULFILLED
ORD000192,2026-02-13,MED035,DC008,51.0,51.0,FULFILLED
ORD000193,2026-02-13,MED036,DC001,92.0,92.0,FULFILLED
ORD000194,2026-02-13,MED036,DC004,51.0,51.0,FULFILLED
ORD000195,2026-02-13,MED036,DC006,34.0,34.0,FULFILLED
ORD000196,2026-02-13,MED036,DC007,91.0,91.0,FULFILLED
ORD000197,2026-02-13,MED036,DC008,121.0,121.0,FULFILLED
ORD000198,2026-02-13,MED037,DC001,194.0,194.0,FULFILLED
ORD000199,2026-02-13,MED037,DC002,187.0,187.0,FULFILLED
ORD000200,2026-02-13,MED037,DC003,216.0,216.0,FULFILLED
ORD000201,2026-02-13,MED037,DC004,154.0,154.0,FULFILLED
ORD000202,2026-02-13,MED037,DC005,137.0,137.0,FULFILLED
ORD000203,2026-02-13,MED037,DC006,227.0,227.0,FULFILLED
ORD000204,2026-02-13,MED038,DC001,258.0,258.0,FULFILLED
ORD000205,2026-02-13,MED038,DC002,216.0,216.0,FULFILLED
ORD000206,2026-02-13,MED038,DC003,243.0,243.0,FULFILLED
ORD000207,2026-02-13,MED038,DC004,197.0,197.0,FULFILLED
ORD000208,2026-02-13,MED038,DC005,186.0,186.0,FULFILLED
ORD000209,2026-02-13,MED038,DC006,206.0,206.0,FULFILLED
ORD000210,2026-02-13,MED038,DC008,248.0,248.0,FULFILLED
ORD000211,2026-02-13,MED039,DC001,39.0,39.0,FULFILLED
ORD000212,2026-02-13,MED039,DC002,46.0,46.0,FULFILLED
ORD000213,2026-02-13,MED039,DC003,52.0,52.0,FULFILLED
ORD000214,2026-02-13,MED039,DC004,41.0,41.0,FULFILLED
ORD000215,2026-02-13,MED039,DC008,43.0,43.0,FULFILLED
ORD000216,2026-02-13,MED040,DC004,65.0,65.0,FULFILLED
ORD000217,2026-02-13,MED040,DC005,113.0,113.0,FULFILLED
ORD000218,2026-02-13,MED040,DC007,69.0,69.0,FULFILLED
ORD000219,2026-02-13,MED040,DC008,71.0,71.0,FULFILLED
ORD000220,2026-02-14,MED001,DC002,30.0,30.0,FULFILLED
ORD000221,2026-02-14,MED001,DC003,16.0,16.0,FULFILLED
ORD000222,2026-02-14,MED001,DC005,17.0,17.0,FULFILLED
ORD000223,2026-02-14,MED001,DC006,9.0,9.0,FULFILLED
ORD000224,2026-02-14,MED001,DC007,33.0,33.0,FULFILLED
ORD000225,2026-02-14,MED002,DC001,32.0,32.0,FULFILLED
ORD000226,2026-02-14,MED002,DC002,29.0,29.0,FULFILLED
ORD000227,2026-02-14,MED002,DC004,14.0,14.0,FULFILLED
ORD000228,2026-02-14,MED003,DC001,61.0,61.0,FULFILLED
ORD000229,2026-02-14,MED003,DC002,60.0,60.0,FULFILLED
ORD000230,2026-02-14,MED003,DC003,67.0,67.0,FULFILLED
ORD000231,2026-02-14,MED003,DC004,55.0,55.0,FULFILLED
ORD000232,2026-02-14,MED003,DC006,60.0,60.0,FULFILLED
ORD000233,2026-02-14,MED003,DC007,72.0,72.0,FULFILLED
ORD000234,2026-02-14,MED003,DC008,60.0,60.0,FULFILLED
ORD000235,2026-02-14,MED004,DC001,93.0,93.0,FULFILLED
ORD000236,2026-02-14,MED004,DC002,100.0,100.0,FULFILLED
ORD000237,2026-02-14,MED004,DC003,88.0,88.0,FULFILLED
ORD000238,2026-02-14,MED004,DC004,116.0,116.0,FULFILLED
ORD000239,2026-02-14,MED004,DC005,112.0,112.0,FULFILLED
ORD000240,2026-02-14,MED004,DC006,123.0,123.0,FULFILLED
ORD000241,2026-02-14,MED004,DC007,143.0,143.0,FULFILLED
ORD000242,2026-02-14,MED004,DC008,131.0,131.0,FULFILLED
ORD000243,2026-02-14,MED005,DC001,96.0,96.0,FULFILLED
ORD000244,2026-02-14,MED005,DC003,72.0,72.0,FULFILLED
ORD000245,2026-02-14,MED005,DC004,30.0,30.0,FULFILLED
ORD000246,2026-02-14,MED005,DC006,51.0,51.0,FULFILLED
ORD000247,2026-02-14,MED005,DC008,54.0,54.0,FULFILLED
ORD000248,2026-02-14,MED006,DC001,27.0,27.0,FULFILLED
ORD000249,2026-02-14,MED006,DC003,21.0,21.0,FULFILLED
ORD000250,2026-02-14,MED006,DC004,26.0,26.0,FULFILLED
ORD000251,2026-02-14,MED006,DC005,37.0,37.0,FULFILLED
ORD000252,2026-02-14,MED006,DC006,20.0,20.0,FULFILLED
ORD000253,2026-02-14,MED006,DC007,30.0,30.0,FULFILLED
ORD000254,2026-02-14,MED007,DC001,63.0,63.0,FULFILLED
ORD000255,2026-02-14,MED007,DC002,47.0,47.0,FULFILLED
ORD000256,2026-02-14,MED007,DC004,79.0,79.0,FULFILLED
ORD000257,2026-02-14,MED007,DC005,95.0,95.0,FULFILLED
ORD000258,2026-02-14,MED007,DC006,63.0,63.0,FULFILLED
ORD000259,2026-02-14,MED008,DC001,133.0,133.0,FULFILLED
ORD000260,2026-02-14,MED008,DC002,117.0,117.0,FULFILLED
ORD000261,2026-02-14,MED008,DC003,175.0,175.0,FULFILLED
ORD000262,2026-02-14,MED008,DC005,95.0,95.0,FULFILLED
ORD000263,2026-02-14,MED008,DC006,106.0,106.0,FULFILLED
ORD000264,2026-02-14,MED008,DC007,77.0,77.0,FULFILLED
ORD000265,2026-02-14,MED009,DC001,123.0,123.0,FULFILLED
ORD000266,2026-02-14,MED009,DC002,134.0,134.0,FULFILLED
ORD000267,2026-02-14,MED009,DC003,131.0,131.0,FULFILLED
ORD000268,2026-02-14,MED009,DC004,183.0,183.0,FULFILLED
ORD000269,2026-02-14,MED009,DC006,101.0,101.0,FULFILLED
ORD000270,2026-02-14,MED009,DC007,115.0,115.0,FULFILLED
ORD000271,2026-02-14,MED009,DC008,126.0,126.0,FULFILLED
ORD000272,2026-02-14,MED010,DC001,21.0,21.0,FULFILLED
ORD000273,2026-02-14,MED010,DC002,135.0,135.0,FULFILLED
ORD000274,2026-02-14,MED010,DC003,122.0,122.0,FULFILLED
ORD000275,2026-02-14,MED010,DC005,32.0,32.0,FULFILLED
ORD000276,2026-02-14,MED010,DC006,121.0,121.0,FULFILLED
ORD000277,2026-02-14,MED010,DC007,80.0,80.0,FULFILLED
ORD000278,2026-02-14,MED010,DC008,117.0,117.0,FULFILLED
ORD000279,2026-02-14,MED011,DC003,38.0,38.0,FULFILLED
ORD000280,2026-02-14,MED011,DC004,37.0,37.0,FULFILLED
ORD000281,2026-02-14,MED011,DC006,47.0,47.0,FULFILLED
ORD000282,2026-02-14,MED011,DC007,30.0,30.0,FULFILLED
ORD000283,2026-02-14,MED012,DC001,110.0,110.0,FULFILLED
ORD000284,2026-02-14,MED012,DC002,164.0,164.0,FULFILLED
ORD000285,2026-02-14,MED012,DC004,51.0,51.0,FULFILLED
ORD000286,2026-02-14,MED012,DC005,44.0,44.0,FULFILLED
ORD000287,2026-02-14,MED012,DC006,200.0,200.0,FULFILLED
ORD000288,2026-02-14,MED012,DC007,142.0,142.0,FULFILLED
ORD000289,2026-02-14,MED013,DC001,47.0,47.0,FULFILLED
ORD000290,2026-02-14,MED013,DC003,45.0,45.0,FULFILLED
ORD000291,2026-02-14,MED013,DC004,33.0,33.0,FULFILLED
ORD000292,2026-02-14,MED013,DC005,65.0,65.0,FULFILLED
ORD000293,2026-02-14,MED013,DC006,58.0,58.0,FULFILLED
ORD000294,2026-02-14,MED013,DC007,38.0,38.0,FULFILLED
ORD000295,2026-02-14,MED013,DC008,51.0,51.0,FULFILLED
ORD000296,2026-02-14,MED014,DC002,64.0,64.0,FULFILLED
ORD000297,2026-02-14,MED014,DC003,23.0,23.0,FULFILLED
ORD000298,2026-02-14,MED014,DC004,53.0,53.0,FULFILLED
ORD000299,2026-02-14,MED014,DC005,50.0,50.0,FULFILLED
ORD000300,2026-02-14,MED014,DC006,12.0,12.0,FULFILLED
ORD000301,2026-02-14,MED014,DC007,17.0,17.0,FULFILLED
ORD000302,2026-02-14,MED015,DC002,133.0,133.0,FULFILLED
ORD000303,2026-02-14,MED015,DC003,184.0,184.0,FULFILLED
ORD000304,2026-02-14,MED015,DC004,125.0,125.0,FULFILLED
ORD000305,2026-02-14,MED015,DC005,131.0,131.0,FULFILLED
ORD000306,2026-02-14,MED015,DC008,120.0,120.0,FULFILLED
ORD000307,2026-02-14,MED016,DC001,63.0,63.0,FULFILLED
ORD000308,2026-02-14,MED016,DC002,54.0,54.0,FULFILLED
ORD000309,2026-02-14,MED016,DC003,4.0,4.0,FULFILLED
ORD000310,2026-02-14,MED016,DC004,64.0,64.0,FULFILLED
ORD000311,2026-02-14,MED016,DC006,83.0,83.0,FULFILLED
ORD000312,2026-02-14,MED016,DC007,81.0,81.0,FULFILLED
ORD000313,2026-02-14,MED016,DC008,30.0,30.0,FULFILLED
ORD000314,2026-02-14,MED017,DC001,20.0,20.0,FULFILLED
ORD000315,2026-02-14,MED017,DC002,22.0,22.0,FULFILLED
ORD000316,2026-02-14,MED017,DC004,34.0,34.0,FULFILLED
ORD000317,2026-02-14,MED017,DC005,13.0,13.0,FULFILLED
ORD000318,2026-02-14,MED017,DC006,36.0,36.0,FULFILLED
ORD000319,2026-02-14,MED018,DC001,36.0,36.0,FULFILLED
ORD000320,2026-02-14,MED018,DC003,32.0,32.0,FULFILLED
ORD000321,2026-02-14,MED018,DC004,14.0,14.0,FULFILLED
ORD000322,2026-02-14,MED018,DC005,95.0,95.0,FULFILLED
ORD000323,2026-02-14,MED018,DC006,44.0,44.0,FULFILLED
ORD000324,2026-02-14,MED018,DC007,23.0,23.0,FULFILLED
ORD000325,2026-02-14,MED019,DC002,45.0,45.0,FULFILLED
ORD000326,2026-02-14,MED019,DC003,56.0,56.0,FULFILLED
ORD000327,2026-02-14,MED019,DC004,78.0,78.0,FULFILLED
ORD000328,2026-02-14,MED019,DC006,45.0,45.0,FULFILLED
ORD000329,2026-02-14,MED020,DC001,14.0,14.0,FULFILLED
ORD000330,2026-02-14,MED020,DC002,52.0,52.0,FULFILLED
ORD000331,2026-02-14,MED020,DC003,50.0,50.0,FULFILLED
ORD000332,2026-02-14,MED020,DC004,31.0,31.0,FULFILLED
ORD000333,2026-02-14,MED020,DC005,38.0,38.0,FULFILLED
ORD000334,2026-02-14,MED020,DC006,38.0,38.0,FULFILLED
ORD000335,2026-02-14,MED021,DC001,134.0,134.0,FULFILLED
ORD000336,2026-02-14,MED021,DC002,84.0,84.0,FULFILLED
ORD000337,2026-02-14,MED021,DC003,79.0,79.0,FULFILLED
ORD000338,2026-02-14,MED021,DC004,145.0,145.0,FULFILLED
ORD000339,2026-02-14,MED021,DC005,102.0,102.0,FULFILLED
ORD000340,2026-02-14,MED021,DC007,123.0,123.0,FULFILLED
ORD000341,2026-02-14,MED021,DC008,84.0,84.0,FULFILLED
ORD000342,2026-02-14,MED022,DC001,55.0,55.0,FULFILLED
ORD000343,2026-02-14,MED022,DC002,45.0,45.0,FULFILLED
ORD000344,2026-02-14,MED022,DC003,33.0,33.0,FULFILLED
ORD000345,2026-02-14,MED022,DC004,50.0,50.0,FULFILLED
ORD000346,2026-02-14,MED022,DC005,34.0,34.0,FULFILLED
ORD000347,2026-02-14,MED022,DC006,24.0,24.0,FULFILLED
ORD000348,2026-02-14,MED022,DC007,56.0,56.0,FULFILLED
ORD000349,2026-02-14,MED022,DC008,40.0,40.0,FULFILLED
ORD000350,2026-02-14,MED023,DC001,47.0,47.0,FULFILLED
ORD000351,2026-02-14,MED023,DC002,87.0,87.0,FULFILLED
ORD000352,2026-02-14,MED023,DC003,62.0,62.0,FULFILLED
ORD000353,2026-02-14,MED023,DC004,48.0,48.0,FULFILLED
ORD000354,2026-02-14,MED023,DC005,134.0,134.0,FULFILLED
ORD000355,2026-02-14,MED023,DC006,158.0,158.0,FULFILLED
ORD000356,2026-02-14,MED023,DC007,38.0,38.0,FULFILLED
ORD000357,2026-02-14,MED024,DC001,27.0,27.0,FULFILLED
ORD000358,2026-02-14,MED024,DC002,31.0,31.0,FULFILLED
ORD000359,2026-02-14,MED024,DC004,26.0,26.0,FULFILLED
ORD000360,2026-02-14,MED024,DC005,34.0,34.0,FULFILLED
ORD000361,2026-02-14,MED024,DC006,25.0,25.0,FULFILLED
ORD000362,2026-02-14,MED024,DC007,37.0,37.0,FULFILLED
ORD000363,2026-02-14,MED024,DC008,30.0,30.0,FULFILLED
ORD000364,2026-02-14,MED025,DC001,100.0,100.0,FULFILLED
ORD000365,2026-02-14,MED025,DC002,105.0,105.0,FULFILLED
ORD000366,2026-02-14,MED025,DC003,88.0,88.0,FULFILLED
ORD000367,2026-02-14,MED025,DC005,103.0,103.0,FULFILLED
ORD000368,2026-02-14,MED025,DC007,113.0,113.0,FULFILLED
ORD000369,2026-02-14,MED025,DC008,112.0,112.0,FULFILLED
ORD000370,2026-02-14,MED026,DC001,50.0,50.0,FULFILLED
ORD000371,2026-02-14,MED026,DC002,112.0,112.0,FULFILLED
ORD000372,2026-02-14,MED026,DC004,122.0,122.0,FULFILLED
ORD000373,2026-02-14,MED026,DC005,90.0,90.0,FULFILLED
ORD000374,2026-02-14,MED026,DC006,57.0,57.0,FULFILLED
ORD000375,2026-02-14,MED026,DC007,58.0,58.0,FULFILLED
ORD000376,2026-02-14,MED026,DC008,103.0,103.0,FULFILLED
ORD000377,2026-02-14,MED027,DC001,76.0,76.0,FULFILLED
ORD000378,2026-02-14,MED027,DC003,82.0,82.0,FULFILLED
ORD000379,2026-02-14,MED027,DC004,40.0,40.0,FULFILLED
ORD000380,2026-02-14,MED027,DC005,65.0,65.0,FULFILLED
ORD000381,2026-02-14,MED027,DC006,52.0,52.0,FULFILLED
ORD000382,2026-02-14,MED027,DC007,63.0,63.0,FULFILLED
ORD000383,2026-02-14,MED027,DC008,94.0,94.0,FULFILLED
ORD000384,2026-02-14,MED028,DC001,25.0,25.0,FULFILLED
ORD000385,2026-02-14,MED028,DC002,27.0,27.0,FULFILLED
ORD000386,2026-02-14,MED028,DC003,38.0,38.0,FULFILLED
