date,sku_id,dc_id,opening_inventory,incoming_inventory,outgoing_inventory,closing_inventory,reserved_inventory,available_inventory
2026-02-13,MED011,DC002,1200.0,0.0,59.04,1140.96,75.0,1065.96
2026-02-13,MED011,DC003,3528.0,0.0,73.62,3454.38,187.0,3267.38
2026-02-13,MED011,DC004,2700.0,0.0,47.65,2652.35,220.0,2432.35
2026-02-13,MED011,DC005,835.0,0.0,43.87,791.13,80.0,711.13
2026-02-13,MED011,DC006,2102.0,0.0,47.86,2054.14,109.0,1945.14
2026-02-13,MED011,DC007,1223.0,0.0,66.3,1156.7,87.0,1069.7
2026-02-13,MED011,DC008,2032.0,0.0,58.67,1973.33,101.0,1872.33
2026-02-13,MED012,DC001,1925.0,0.0,126.94,1798.06,267.0,1531.06
2026-02-13,MED012,DC002,2175.0,0.0,185.42,1989.58,225.0,1764.58
2026-02-13,MED012,DC003,2611.0,0.0,162.08,2448.92,321.0,2127.92
2026-02-13,MED012,DC004,1373.0,0.0,210.95,1162.05,110.0,1052.05
2026-02-13,MED012,DC005,1636.0,0.0,156.44,1479.56,123.0,1356.56
2026-02-13,MED012,DC006,1474.0,0.0,138.27,1335.73,143.0,1192.73
2026-02-13,MED012,DC007,1759.0,0.0,134.65,1624.35,145.0,1479.35
2026-02-13,MED012,DC008,2780.0,0.0,74.58,2705.42,193.0,2512.42
2026-02-13,MED013,DC001,1404.0,0.0,46.32,1357.68,73.0,1284.68
2026-02-13,MED013,DC002,1662.0,0.0,46.01,1615.99,147.0,1468.99
2026-02-13,MED013,DC003,1482.0,0.0,43.8,1438.2,92.0,1346.2
2026-02-13,MED013,DC004,2298.0,0.0,41.72,2256.28,255.0,2001.28
2026-02-13,MED013,DC005,2399.0,0.0,31.5,2367.5,307.0,2060.5
2026-02-13,MED013,DC006,2177.0,0.0,40.11,2136.89,274.0,1862.89
2026-02-13,MED013,DC007,1559.0,0.0,40.79,1518.21,214.0,1304.21
2026-02-13,MED013,DC008,1134.0,0.0,36.81,1097.19,90.0,1007.19
2026-02-13,MED014,DC001,2321.0,0.0,50.39,2270.61,127.0,2143.61
2026-02-13,MED014,DC002,2045.0,0.0,59.79,1985.21,204.0,1781.21
2026-02-13,MED014,DC003,1366.0,0.0,84.42,1281.58,192.0,1089.58
2026-02-13,MED014,DC004,1083.0,0.0,55.97,1027.03,62.0,965.03
2026-02-13,MED014,DC005,1604.0,0.0,57.35,1546.65,219.0,1327.65
2026-02-13,MED014,DC006,2638.0,0.0,51.84,2586.16,348.0,2238.16
2026-02-13,MED014,DC007,1568.0,0.0,21.18,1546.82,132.0,1414.82
2026-02-13,MED014,DC008,1350.0,0.0,52.63,1297.37,175.0,1122.37
2026-02-13,MED015,DC001,1569.0,0.0,175.07,1393.93,167.0,1226.93
2026-02-13,MED015,DC002,1705.0,0.0,228.92,1476.08,78.0,1398.08
2026-02-13,MED015,DC003,1927.0,0.0,169.41,1757.59,254.0,1503.59
2026-02-13,MED015,DC004,2446.0,0.0,157.82,2288.18,340.0,1948.18
2026-02-13,MED015,DC005,2777.0,0.0,150.29,2626.71,261.0,2365.71
2026-02-13,MED015,DC006,1374.0,0.0,124.87,1249.13,92.0,1157.13
2026-02-13,MED015,DC007,1475.0,0.0,176.67,1298.33,184.0,1114.33
2026-02-13,MED015,DC008,1254.0,0.0,167.91,1086.09,154.0,932.09
2026-02-13,MED016,DC001,2769.0,0.0,104.93,2664.07,219.0,2445.07
2026-02-13,MED016,DC002,2672.0,0.0,50.95,2621.05,334.0,2287.05
2026-02-13,MED016,DC003,2063.0,0.0,124.35,1938.65,264.0,1674.65
2026-02-13,MED016,DC004,918.0,0.0,35.31,882.69,77.0,805.69
2026-02-13,MED016,DC005,1933.0,0.0,118.4,1814.6,163.0,1651.6
2026-02-13,MED016,DC006,2966.0,0.0,149.35,2816.65,185.0,2631.65
2026-02-13,MED016,DC007,2378.0,0.0,48.37,2329.63,301.0,2028.63
2026-02-13,MED016,DC008,2439.0,0.0,61.84,2377.16,273.0,2104.16
2026-02-13,MED017,DC001,1244.0,0.0,31.15,1212.85,173.0,1039.85
2026-02-13,MED017,DC002,1708.0,0.0,27.1,1680.9,122.0,1558.9
2026-02-13,MED017,DC003,2174.0,0.0,20.08,2153.92,256.0,1897.92
2026-02-13,MED017,DC004,1805.0,0.0,30.94,1774.06,257.0,1517.06
2026-02-13,MED017,DC005,1580.0,0.0,23.36,1556.64,83.0,1473.64
2026-02-13,MED017,DC006,2733.0,0.0,33.66,2699.34,195.0,2504.34
2026-02-13,MED017,DC007,1842.0,0.0,24.31,1817.69,226.0,1591.69
2026-02-13,MED017,DC008,2264.0,0.0,40.88,2223.12,308.0,1915.12
2026-02-13,MED018,DC001,610.0,0.0,38.61,571.39,79.0,492.39
2026-02-13,MED018,DC002,2424.0,0.0,46.53,2377.47,135.0,2242.47
2026-02-13,MED018,DC003,2463.0,0.0,66.01,2396.99,212.0,2184.99
2026-02-13,MED018,DC004,2130.0,0.0,30.93,2099.07,308.0,1791.0700000000002
2026-02-13,MED018,DC005,2086.0,0.0,55.96,2030.04,202.0,1828.04
2026-02-13,MED018,DC006,1757.0,0.0,74.48,1682.52,165.0,1517.52
2026-02-13,MED018,DC007,2307.0,0.0,24.47,2282.53,263.0,2019.53
2026-02-13,MED018,DC008,1967.0,0.0,55.22,1911.78,257.0,1654.78
2026-02-13,MED019,DC001,1114.0,0.0,68.55,1045.45,60.0,985.45
2026-02-13,MED019,DC002,1330.0,0.0,78.4,1251.6,131.0,1120.6
2026-02-13,MED019,DC003,2907.0,0.0,40.29,2866.71,170.0,2696.71
2026-02-13,MED019,DC004,2745.0,0.0,38.71,2706.29,144.0,2562.29
2026-02-13,MED019,DC005,1171.0,0.0,73.49,1097.51,73.0,1024.51
2026-02-13,MED019,DC006,2361.0,0.0,69.25,2291.75,151.0,2140.75
2026-02-13,MED019,DC007,2438.0,0.0,68.37,2369.63,284.0,2085.63
2026-02-13,MED019,DC008,1133.0,0.0,70.18,1062.82,131.0,931.82
2026-02-13,MED020,DC001,1131.0,0.0,33.42,1097.58,60.0,1037.58
2026-02-13,MED020,DC002,1298.0,0.0,41.31,1256.69,108.0,1148.69
2026-02-13,MED020,DC003,3183.0,0.0,41.84,3141.16,346.0,2795.16
2026-02-13,MED020,DC004,1707.0,0.0,33.12,1673.88,133.0,1540.88
2026-02-13,MED020,DC005,2551.0,0.0,55.44,2495.56,224.0,2271.56
2026-02-13,MED020,DC006,1975.0,0.0,43.4,1931.6,202.0,1729.6
2026-02-13,MED020,DC007,1169.0,0.0,29.0,1140.0,108.0,1032.0
2026-02-13,MED020,DC008,2665.0,0.0,44.98,2620.02,201.0,2419.02
2026-02-13,MED021,DC001,2750.0,0.0,139.73,2610.27,153.0,2457.27
2026-02-13,MED021,DC002,880.0,0.0,196.97,683.03,74.0,609.03
2026-02-13,MED021,DC003,697.0,0.0,209.04,487.96,45.0,442.96
2026-02-13,MED021,DC004,2398.0,0.0,144.74,2253.26,311.0,1942.26
2026-02-13,MED021,DC005,2921.0,0.0,202.7,2718.3,330.0,2388.3
2026-02-13,MED021,DC006,1363.0,0.0,184.81,1178.19,139.0,1039.19
2026-02-13,MED021,DC007,2509.0,0.0,198.11,2310.89,155.0,2155.89
2026-02-13,MED021,DC008,2016.0,0.0,233.03,1782.97,262.0,1520.97
2026-02-13,MED022,DC001,1671.0,0.0,41.94,1629.06,102.0,1527.06
2026-02-13,MED022,DC002,750.0,0.0,36.98,713.02,107.0,606.02
2026-02-13,MED022,DC003,2549.0,0.0,35.66,2513.34,355.0,2158.34
2026-02-13,MED022,DC004,1993.0,0.0,36.38,1956.62,111.0,1845.62
2026-02-13,MED022,DC005,2385.0,0.0,43.59,2341.41,182.0,2159.41
2026-02-13,MED022,DC006,1903.0,0.0,47.67,1855.33,208.0,1647.33
2026-02-13,MED022,DC007,1770.0,0.0,47.04,1722.96,112.0,1610.96
2026-02-13,MED022,DC008,1206.0,0.0,52.41,1153.59,164.0,989.59
2026-02-13,MED023,DC001,2656.0,0.0,113.35,2542.65,263.0,2279.65
2026-02-13,MED023,DC002,1933.0,0.0,153.12,1779.88,175.0,1604.88
2026-02-13,MED023,DC003,1202.0,0.0,105.69,1096.31,71.0,1025.31
2026-02-13,MED023,DC004,1652.0,0.0,188.08,1463.92,203.0,1260.92
2026-02-13,MED023,DC005,956.0,0.0,158.51,797.49,113.0,684.49
2026-02-13,MED023,DC006,1117.0,0.0,89.33,1027.67,53.0,974.67
2026-02-13,MED023,DC007,1054.0,0.0,83.43,970.57,78.0,892.5699999999999
2026-02-13,MED023,DC008,3063.0,0.0,126.31,2936.69,176.0,2760.69
2026-02-13,MED024,DC001,1844.0,0.0,39.41,1804.59,114.0,1690.59
2026-02-13,MED024,DC002,1648.0,0.0,49.43,1598.57,151.0,1447.57
2026-02-13,MED024,DC003,3583.0,0.0,46.85,3536.15,272.0,3264.15
2026-02-13,MED024,DC004,1828.0,0.0,41.02,1786.98,127.0,1659.98
2026-02-13,MED024,DC005,2291.0,0.0,32.76,2258.24,280.0,1978.24
2026-02-13,MED024,DC006,1974.0,0.0,25.62,1948.38,266.0,1682.38
2026-02-13,MED024,DC007,2470.0,0.0,37.03,2432.97,247.0,2185.97
2026-02-13,MED024,DC008,1044.0,0.0,50.95,993.05,63.0,930.05
2026-02-13,MED025,DC001,2955.0,0.0,156.84,2798.16,386.0,2412.16
2026-02-13,MED025,DC002,869.0,0.0,134.67,734.33,98.0,636.33
2026-02-13,MED025,DC003,1052.0,0.0,156.22,895.78,108.0,787.78
2026-02-13,MED025,DC004,1838.0,0.0,159.44,1678.56,191.0,1487.56
2026-02-13,MED025,DC005,1933.0,0.0,140.16,1792.84,196.0,1596.84
2026-02-13,MED025,DC006,2672.0,0.0,155.92,2516.08,214.0,2302.08
2026-02-13,MED025,DC007,1452.0,0.0,154.47,1297.53,154.0,1143.53
2026-02-13,MED025,DC008,3084.0,0.0,136.23,2947.77,316.0,2631.77
2026-02-13,MED026,DC001,1613.0,0.0,131.68,1481.32,201.0,1280.32
2026-02-13,MED026,DC002,1383.0,0.0,135.65,1247.35,113.0,1134.35
2026-02-13,MED026,DC003,1610.0,0.0,145.85,1464.15,75.0,1389.15
2026-02-13,MED026,DC004,2116.0,0.0,145.27,1970.73,226.0,1744.73
2026-02-13,MED026,DC005,1095.0,0.0,97.8,997.2,130.0,867.2
2026-02-13,MED026,DC006,1493.0,0.0,106.39,1386.61,128.0,1258.61
2026-02-13,MED026,DC007,719.0,0.0,134.75,584.25,56.0,528.25
2026-02-13,MED026,DC008,2315.0,0.0,134.73,2180.27,131.0,2049.27
2026-02-13,MED027,DC001,1382.0,0.0,118.34,1263.66,110.0,1153.66
2026-02-13,MED027,DC002,3449.0,0.0,178.35,3270.65,199.0,3071.65
2026-02-13,MED027,DC003,1646.0,0.0,119.35,1526.65,208.0,1318.65
2026-02-13,MED027,DC004,2527.0,0.0,129.5,2397.5,192.0,2205.5
2026-02-13,MED027,DC005,1375.0,0.0,126.23,1248.77,163.0,1085.77
2026-02-13,MED027,DC006,2388.0,0.0,120.79,2267.21,249.0,2018.21
2026-02-13,MED027,DC007,3259.0,0.0,103.41,3155.59,365.0,2790.59
2026-02-13,MED027,DC008,1040.0,0.0,122.73,917.27,70.0,847.27
2026-02-13,MED028,DC001,1599.0,0.0,30.78,1568.22,189.0,1379.22
2026-02-13,MED028,DC002,699.0,0.0,34.7,664.3,48.0,616.3
2026-02-13,MED028,DC003,2635.0,0.0,32.88,2602.12,305.0,2297.12
2026-02-13,MED028,DC004,2606.0,0.0,37.04,2568.96,354.0,2214.96
2026-02-13,MED028,DC005,1346.0,0.0,53.39,1292.61,98.0,1194.61
2026-02-13,MED028,DC006,1913.0,0.0,22.77,1890.23,239.0,1651.23
2026-02-13,MED028,DC007,1245.0,0.0,41.46,1203.54,71.0,1132.54
2026-02-13,MED028,DC008,756.0,0.0,24.63,731.37,94.0,637.37
2026-02-13,MED029,DC001,1296.0,0.0,65.75,1230.25,166.0,1064.25
2026-02-13,MED029,DC002,1796.0,0.0,82.37,1713.63,247.0,1466.63
2026-02-13,MED029,DC003,1553.0,0.0,71.46,1481.54,203.0,1278.54
2026-02-13,MED029,DC004,2486.0,0.0,50.06,2435.94,330.0,2105.94
2026-02-13,MED029,DC005,1045.0,0.0,53.92,991.08,106.0,885.08
2026-02-13,MED029,DC006,1768.0,0.0,68.78,1699.22,163.0,1536.22
2026-02-13,MED029,DC007,2133.0,0.0,53.76,2079.24,205.0,1874.24
2026-02-13,MED029,DC008,2090.0,0.0,63.85,2026.15,102.0,1924.15
2026-02-13,MED030,DC001,2367.0,0.0,62.28,2304.72,291.0,2013.72
2026-02-13,MED030,DC002,734.0,0.0,50.82,683.18,76.0,607.18
2026-02-13,MED030,DC003,1202.0,0.0,96.76,1105.24,98.0,1007.24
2026-02-13,MED030,DC004,2219.0,0.0,71.95,2147.05,110.0,2037.05
2026-02-13,MED030,DC005,2200.0,0.0,43.64,2156.36,254.0,1902.36
2026-02-13,MED030,DC006,2430.0,0.0,64.59,2365.41,200.0,2165.41
2026-02-13,MED030,DC007,1947.0,0.0,50.66,1896.34,126.0,1770.34
2026-02-13,MED030,DC008,1827.0,0.0,75.54,1751.46,140.0,1611.46
2026-02-13,MED031,DC001,1121.0,0.0,34.01,1086.99,91.0,995.99
2026-02-13,MED031,DC002,461.0,0.0,40.81,420.19,63.0,357.19
2026-02-13,MED031,DC003,1902.0,0.0,47.02,1854.98,128.0,1726.98
2026-02-13,MED031,DC004,2203.0,0.0,50.64,2152.36,305.0,1847.36
2026-02-13,MED031,DC005,1817.0,0.0,29.92,1787.08,113.0,1674.08
2026-02-13,MED031,DC006,906.0,0.0,38.6,867.4,95.0,772.4
2026-02-13,MED031,DC007,1548.0,0.0,37.2,1510.8,81.0,1429.8
2026-02-13,MED031,DC008,1822.0,0.0,35.41,1786.59,135.0,1651.59
2026-02-13,MED032,DC001,1731.0,0.0,70.46,1660.54,193.0,1467.54
2026-02-13,MED032,DC002,1166.0,0.0,54.74,1111.26,102.0,1009.26
2026-02-13,MED032,DC003,1486.0,0.0,35.5,1450.5,95.0,1355.5
2026-02-13,MED032,DC004,1150.0,0.0,60.67,1089.33,127.0,962.33
2026-02-13,MED032,DC005,2010.0,0.0,74.58,1935.42,123.0,1812.42
2026-02-13,MED032,DC006,2552.0,0.0,61.99,2490.01,151.0,2339.01
2026-02-13,MED032,DC007,2638.0,0.0,32.51,2605.49,161.0,2444.49
2026-02-13,MED032,DC008,2515.0,0.0,44.47,2470.53,173.0,2297.53
2026-02-13,MED033,DC001,2812.0,0.0,68.69,2743.31,330.0,2413.31
2026-02-13,MED033,DC002,1989.0,0.0,45.14,1943.86,138.0,1805.86
2026-02-13,MED033,DC003,2849.0,0.0,58.87,2790.13,232.0,2558.13
2026-02-13,MED033,DC004,1184.0,0.0,62.82,1121.18,150.0,971.18
2026-02-13,MED033,DC005,2312.0,0.0,42.53,2269.47,230.0,2039.47
2026-02-13,MED033,DC006,1120.0,0.0,52.87,1067.13,64.0,1003.13
2026-02-13,MED033,DC007,2088.0,0.0,14.94,2073.06,165.0,1908.06
2026-02-13,MED033,DC008,2147.0,0.0,41.37,2105.63,114.0,1991.63
2026-02-13,MED034,DC001,2641.0,0.0,141.46,2499.54,310.0,2189.54
2026-02-13,MED034,DC002,1465.0,0.0,129.09,1335.91,181.0,1154.91
2026-02-13,MED034,DC003,886.0,0.0,164.9,721.1,68.0,653.1
2026-02-13,MED034,DC004,1685.0,0.0,107.96,1577.04,207.0,1370.04
2026-02-13,MED034,DC005,2268.0,0.0,120.27,2147.73,166.0,1981.73
2026-02-13,MED034,DC006,2960.0,0.0,127.37,2832.63,325.0,2507.63
2026-02-13,MED034,DC007,2356.0,0.0,143.66,2212.34,136.0,2076.34
2026-02-13,MED034,DC008,1314.0,0.0,107.89,1206.11,80.0,1126.11
2026-02-13,MED035,DC001,995.0,0.0,68.74,926.26,109.0,817.26
2026-02-13,MED035,DC002,1592.0,0.0,48.86,1543.14,82.0,1461.14
2026-02-13,MED035,DC003,1691.0,0.0,31.77,1659.23,105.0,1554.23
2026-02-13,MED035,DC004,1028.0,0.0,56.65,971.35,60.0,911.35
2026-02-13,MED035,DC005,1469.0,0.0,52.12,1416.88,115.0,1301.88
2026-02-13,MED035,DC006,2759.0,0.0,38.34,2720.66,320.0,2400.66
2026-02-13,MED035,DC007,1013.0,0.0,49.89,963.11,104.0,859.11
2026-02-13,MED035,DC008,1369.0,0.0,42.04,1326.96,111.0,1215.96
2026-02-13,MED036,DC001,2005.0,0.0,82.16,1922.84,223.0,1699.84
2026-02-13,MED036,DC002,2351.0,0.0,97.5,2253.5,199.0,2054.5
2026-02-13,MED036,DC003,2111.0,0.0,123.33,1987.67,210.0,1777.67
2026-02-13,MED036,DC004,1178.0,0.0,44.37,1133.63,63.0,1070.63
2026-02-13,MED036,DC005,1762.0,0.0,138.63,1623.37,219.0,1404.37
2026-02-13,MED036,DC006,2077.0,0.0,24.39,2052.61,118.0,1934.61
2026-02-13,MED036,DC007,1655.0,0.0,74.74,1580.26,87.0,1493.26
2026-02-13,MED036,DC008,2342.0,0.0,95.43,2246.57,165.0,2081.57
2026-02-13,MED037,DC001,1803.0,0.0,199.63,1603.37,218.0,1385.37
2026-02-13,MED037,DC002,1187.0,0.0,170.03,1016.97,117.0,899.97
2026-02-13,MED037,DC003,1560.0,0.0,183.61,1376.39,69.0,1307.39
2026-02-13,MED037,DC004,1642.0,0.0,149.44,1492.56,120.0,1372.56
2026-02-13,MED037,DC005,2307.0,0.0,146.28,2160.72,313.0,1847.72
2026-02-13,MED037,DC006,1691.0,0.0,193.41,1497.59,143.0,1354.59
2026-02-13,MED037,DC007,1716.0,0.0,177.28,1538.72,178.0,1360.72
2026-02-13,MED037,DC008,1286.0,0.0,142.89,1143.11,70.0,1073.11
2026-02-13,MED038,DC001,2181.0,0.0,201.32,1979.68,143.0,1836.68
2026-02-13,MED038,DC002,1075.0,0.0,182.73,892.27,71.0,821.27
2026-02-13,MED038,DC003,2078.0,0.0,198.6,1879.4,125.0,1754.4
2026-02-13,MED038,DC004,1327.0,0.0,192.85,1134.15,69.0,1065.15
2026-02-13,MED038,DC005,2395.0,0.0,147.07,2247.93,201.0,2046.93
2026-02-13,MED038,DC006,1271.0,0.0,155.51,1115.49,68.0,1047.49
2026-02-13,MED038,DC007,1455.0,0.0,196.54,1258.46,137.0,1121.46
2026-02-13,MED038,DC008,2936.0,0.0,192.24,2743.76,261.0,2482.76
2026-02-13,MED039,DC001,1420.0,0.0,32.65,1387.35,139.0,1248.35
2026-02-13,MED039,DC002,1443.0,0.0,33.69,1409.31,189.0,1220.31
2026-02-13,MED039,DC003,2155.0,0.0,42.43,2112.57,143.0,1969.57
2026-02-13,MED039,DC004,1038.0,0.0,28.35,1009.65,90.0,919.65
2026-02-13,MED039,DC005,2215.0,0.0,36.92,2178.08,193.0,1985.08
2026-02-13,MED039,DC006,2051.0,0.0,31.28,2019.72,286.0,1733.72
2026-02-13,MED039,DC007,2802.0,0.0,31.16,2770.84,214.0,2556.84
2026-02-13,MED039,DC008,2590.0,0.0,41.08,2548.92,375.0,2173.92
2026-02-13,MED040,DC001,1180.0,0.0,76.12,1103.88,132.0,971.88
2026-02-13,MED040,DC002,2440.0,0.0,75.88,2364.12,189.0,2175.12
2026-02-13,MED040,DC003,945.0,0.0,85.58,859.42,117.0,742.42
2026-02-13,MED040,DC004,1921.0,0.0,60.25,1860.75,267.0,1593.75
2026-02-13,MED040,DC005,2307.0,0.0,88.25,2218.75,175.0,2043.75
2026-02-13,MED040,DC006,1344.0,0.0,53.72,1290.28,148.0,1142.28
2026-02-13,MED040,DC007,2154.0,0.0,66.23,2087.77,210.0,1877.77
2026-02-13,MED040,DC008,1855.0,0.0,57.27,1797.73,153.0,1644.73
2026-02-14,MED001,DC001,1135.76,0.0,14.86,1120.9,103.0,1017.9
2026-02-14,MED001,DC002,2519.31,0.0,17.64,2501.67,336.0,2165.67
2026-02-14,MED001,DC003,2183.91,0.0,9.74,2174.17,222.0,1952.17
2026-02-14,MED001,DC004,2266.02,0.0,26.01,2240.01,157.0,2083.01
2026-02-14,MED001,DC005,2056.84,0.0,8.69,2048.15,135.0,1913.15
2026-02-14,MED001,DC006,973.84,0.0,7.53,966.31,115.0,851.3100000000001
2026-02-14,MED001,DC007,862.7,0.0,20.79,841.9100000000001,111.0,730.9100000000001
2026-02-14,MED001,DC008,1653.24,0.0,18.74,1634.5,223.0,1411.5
2026-02-14,MED002,DC001,744.68,0.0,19.97,724.7099999999999,77.0,647.7099999999999
2026-02-14,MED002,DC002,882.8,0.0,19.99,862.81,68.0,794.81
2026-02-14,MED002,DC003,2385.65,0.0,16.91,2368.74,345.0,2023.74
2026-02-14,MED002,DC004,710.66,0.0,12.64,698.02,57.0,641.02
2026-02-14,MED002,DC005,2311.25,0.0,17.33,2293.92,257.0,2036.92
