sku_id,supplier_id,dc_id,lead_time_days
MED008,SUP001,DC003,6
MED008,SUP001,DC004,5
MED008,SUP001,DC005,6
MED008,SUP001,DC006,7
MED008,SUP001,DC007,4
MED008,SUP001,DC008,7
MED009,SUP002,DC001,5
MED009,SUP002,DC002,5
MED009,SUP002,DC003,3
MED009,SUP002,DC004,6
MED009,SUP002,DC005,6
MED009,SUP002,DC006,6
MED009,SUP002,DC007,6
MED009,SUP002,DC008,4
MED010,SUP002,DC001,6
MED010,SUP002,DC002,4
MED010,SUP002,DC003,4
MED010,SUP002,DC004,5
MED010,SUP002,DC005,6
MED010,SUP002,DC006,6
MED010,SUP002,DC007,4
MED010,SUP002,DC008,7
MED010,SUP005,DC001,5
MED010,SUP005,DC002,4
MED010,SUP005,DC003,2
MED010,SUP005,DC004,6
MED010,SUP005,DC005,7
MED010,SUP005,DC006,10
MED010,SUP005,DC007,6
MED010,SUP005,DC008,8
MED011,SUP001,DC001,5
MED011,SUP001,DC002,3
MED011,SUP001,DC003,6
MED011,SUP001,DC004,6
MED011,SUP001,DC005,5
MED011,SUP001,DC006,6
MED011,SUP001,DC007,7
MED011,SUP001,DC008,7
MED011,SUP005,DC001,5
MED011,SUP005,DC002,4
MED011,SUP005,DC003,5
MED011,SUP005,DC004,8
MED011,SUP005,DC005,9
MED011,SUP005,DC006,6
MED011,SUP005,DC007,6
MED011,SUP005,DC008,8
MED012,SUP003,DC001,3
MED012,SUP003,DC002,5
MED012,SUP003,DC003,2
MED012,SUP003,DC004,8
MED012,SUP003,DC005,9
MED012,SUP003,DC006,7
MED012,SUP003,DC007,5
MED012,SUP003,DC008,7
MED013,SUP003,DC001,7
MED013,SUP003,DC002,4
MED013,SUP003,DC003,2
MED013,SUP003,DC004,6
MED013,SUP003,DC005,9
MED013,SUP003,DC006,8
MED013,SUP003,DC007,6
MED013,SUP003,DC008,6
MED014,SUP003,DC001,4
MED014,SUP003,DC002,5
MED014,SUP003,DC003,5
MED014,SUP003,DC004,5
MED014,SUP003,DC005,9
MED014,SUP003,DC006,10
MED014,SUP003,DC007,5
MED014,SUP003,DC008,7
MED014,SUP002,DC001,7
MED014,SUP002,DC002,2
MED014,SUP002,DC003,4
MED014,SUP002,DC004,6
MED014,SUP002,DC005,6
MED014,SUP002,DC006,9
MED014,SUP002,DC007,7
MED014,SUP002,DC008,8
MED015,SUP004,DC001,6
MED015,SUP004,DC002,3
MED015,SUP004,DC003,6
MED015,SUP004,DC004,7
MED015,SUP004,DC005,6
MED015,SUP004,DC006,6
MED015,SUP004,DC007,5
MED015,SUP004,DC008,8
MED015,SUP005,DC001,7
MED015,SUP005,DC002,4
MED015,SUP005,DC003,2
MED015,SUP005,DC004,5
MED015,SUP005,DC005,7
MED015,SUP005,DC006,7
MED015,SUP005,DC007,4
MED015,SUP005,DC008,5
MED016,SUP001,DC001,4
MED016,SUP001,DC002,5
MED016,SUP001,DC003,6
MED016,SUP001,DC004,4
MED016,SUP001,DC005,8
MED016,SUP001,DC006,9
MED016,SUP001,DC007,7
MED016,SUP001,DC008,5
MED017,SUP004,DC001,4
MED017,SUP004,DC002,3
MED017,SUP004,DC003,2
MED017,SUP004,DC004,4
MED017,SUP004,DC005,8
MED017,SUP004,DC006,7
MED017,SUP004,DC007,4
MED017,SUP004,DC008,8
MED017,SUP005,DC001,6
MED017,SUP005,DC002,2
MED017,SUP005,DC003,6
MED017,SUP005,DC004,5
MED017,SUP005,DC005,5
MED017,SUP005,DC006,9
MED017,SUP005,DC007,4
MED017,SUP005,DC008,7
MED018,SUP004,DC001,7
MED018,SUP004,DC002,5
MED018,SUP004,DC003,3
MED018,SUP004,DC004,7
MED018,SUP004,DC005,8
MED018,SUP004,DC006,8
MED018,SUP004,DC007,4
MED018,SUP004,DC008,6
MED018,SUP005,DC001,7
MED018,SUP005,DC002,5
MED018,SUP005,DC003,3
MED018,SUP005,DC004,6
MED018,SUP005,DC005,8
MED018,SUP005,DC006,6
MED018,SUP005,DC007,5
MED018,SUP005,DC008,5
MED019,SUP003,DC001,7
MED019,SUP003,DC002,2
MED019,SUP003,DC003,3
MED019,SUP003,DC004,5
MED019,SUP003,DC005,6
MED019,SUP003,DC006,9
MED019,SUP003,DC007,4
MED019,SUP003,DC008,5
MED019,SUP005,DC001,3
MED019,SUP005,DC002,5
MED019,SUP005,DC003,5
MED019,SUP005,DC004,6
MED019,SUP005,DC005,9
MED019,SUP005,DC006,9
MED019,SUP005,DC007,6
MED019,SUP005,DC008,4
MED020,SUP004,DC001,6
MED020,SUP004,DC002,6
MED020,SUP004,DC003,2
MED020,SUP004,DC004,8
MED020,SUP004,DC005,8
MED020,SUP004,DC006,9
MED020,SUP004,DC007,3
MED020,SUP004,DC008,6
MED021,SUP004,DC001,7
MED021,SUP004,DC002,6
MED021,SUP004,DC003,6
MED021,SUP004,DC004,5
MED021,SUP004,DC005,8
MED021,SUP004,DC006,7
MED021,SUP004,DC007,5
MED021,SUP004,DC008,7
MED021,SUP005,DC001,6
MED021,SUP005,DC002,2
MED021,SUP005,DC003,5
MED021,SUP005,DC004,6
MED021,SUP005,DC005,8
MED021,SUP005,DC006,7
MED021,SUP005,DC007,6
MED021,SUP005,DC008,5
MED022,SUP004,DC001,7
MED022,SUP004,DC002,6
MED022,SUP004,DC003,2
MED022,SUP004,DC004,4
MED022,SUP004,DC005,8
MED022,SUP004,DC006,7
MED022,SUP004,DC007,6
MED022,SUP004,DC008,5
MED023,SUP003,DC001,6
MED023,SUP003,DC002,4
MED023,SUP003,DC003,3
MED023,SUP003,DC004,7
MED023,SUP003,DC005,7
MED023,SUP003,DC006,8
MED023,SUP003,DC007,6
MED023,SUP003,DC008,6
MED024,SUP003,DC001,6
MED024,SUP003,DC002,2
MED024,SUP003,DC003,6
MED024,SUP003,DC004,4
MED024,SUP003,DC005,7
MED024,SUP003,DC006,7
MED024,SUP003,DC007,3
MED024,SUP003,DC008,4
MED024,SUP001,DC001,3
MED024,SUP001,DC002,3
MED024,SUP001,DC003,3
MED024,SUP001,DC004,4
MED024,SUP001,DC005,9
MED024,SUP001,DC006,7
MED024,SUP001,DC007,4
MED024,SUP001,DC008,5
MED025,SUP001,DC001,6
MED025,SUP001,DC002,4
MED025,SUP001,DC003,4
MED025,SUP001,DC004,5
MED025,SUP001,DC005,9
MED025,SUP001,DC006,10
MED025,SUP001,DC007,3
MED025,SUP001,DC008,5
MED025,SUP002,DC001,5
MED025,SUP002,DC002,2
MED025,SUP002,DC003,6
MED025,SUP002,DC004,4
MED025,SUP002,DC005,7
MED025,SUP002,DC006,10
MED025,SUP002,DC007,6
MED025,SUP002,DC008,7
MED026,SUP001,DC001,7
MED026,SUP001,DC002,3
MED026,SUP001,DC003,2
MED026,SUP001,DC004,6
MED026,SUP001,DC005,9
MED026,SUP001,DC006,6
MED026,SUP001,DC007,7
MED026,SUP001,DC008,4
MED027,SUP005,DC001,5
MED027,SUP005,DC002,2
MED027,SUP005,DC003,6
MED027,SUP005,DC004,6
MED027,SUP005,DC005,5
MED027,SUP005,DC006,9
MED027,SUP005,DC007,6
MED027,SUP005,DC008,4
MED027,SUP004,DC001,6
MED027,SUP004,DC002,4
MED027,SUP004,DC003,5
MED027,SUP004,DC004,5
MED027,SUP004,DC005,8
MED027,SUP004,DC006,7
MED027,SUP004,DC007,7
MED027,SUP004,DC008,6
MED028,SUP004,DC001,7
MED028,SUP004,DC002,4
MED028,SUP004,DC003,4
MED028,SUP004,DC004,5
MED028,SUP004,DC005,5
MED028,SUP004,DC006,8
MED028,SUP004,DC007,6
MED028,SUP004,DC008,5
MED028,SUP005,DC001,6
MED028,SUP005,DC002,6
MED028,SUP005,DC003,6
MED028,SUP005,DC004,7
MED028,SUP005,DC005,7
MED028,SUP005,DC006,6
MED028,SUP005,DC007,6
MED028,SUP005,DC008,6
MED029,SUP004,DC001,4
MED029,SUP004,DC002,4
MED029,SUP004,DC003,4
MED029,SUP004,DC004,6
MED029,SUP004,DC005,7
MED029,SUP004,DC006,10
MED029,SUP004,DC007,5
MED029,SUP004,DC008,8
MED030,SUP005,DC001,4
MED030,SUP005,DC002,2
MED030,SUP005,DC003,3
MED030,SUP005,DC004,7
MED030,SUP005,DC005,8
MED030,SUP005,DC006,10
MED030,SUP005,DC007,4
MED030,SUP005,DC008,7
MED031,SUP004,DC001,3
MED031,SUP004,DC002,4
MED031,SUP004,DC003,3
MED031,SUP004,DC004,7
MED031,SUP004,DC005,6
MED031,SUP004,DC006,8
MED031,SUP004,DC007,7
MED031,SUP004,DC008,6
MED031,SUP001,DC001,6
MED031,SUP001,DC002,6
MED031,SUP001,DC003,6
MED031,SUP001,DC004,6
MED031,SUP001,DC005,8
MED031,SUP001,DC006,10
MED031,SUP001,DC007,5
MED031,SUP001,DC008,6
MED032,SUP003,DC001,5
MED032,SUP003,DC002,3
MED032,SUP003,DC003,2
MED032,SUP003,DC004,5
MED032,SUP003,DC005,7
MED032,SUP003,DC006,6
MED032,SUP003,DC007,7
MED032,SUP003,DC008,5
MED032,SUP005,DC001,4
MED032,SUP005,DC002,3
MED032,SUP005,DC003,5
MED032,SUP005,DC004,6
MED032,SUP005,DC005,9
MED032,SUP005,DC006,10
MED032,SUP005,DC007,7
MED032,SUP005,DC008,6
MED033,SUP002,DC001,5
MED033,SUP002,DC002,3
MED033,SUP002,DC003,4
MED033,SUP002,DC004,5
MED033,SUP002,DC005,7
MED033,SUP002,DC006,6
MED033,SUP002,DC007,7
MED033,SUP002,DC008,5
MED034,SUP001,DC001,7
MED034,SUP001,DC002,4
MED034,SUP001,DC003,3
MED034,SUP001,DC004,7
MED034,SUP001,DC005,5
MED034,SUP001,DC006,6
MED034,SUP001,DC007,7
MED034,SUP001,DC008,6
MED034,SUP005,DC001,6
MED034,SUP005,DC002,5
MED034,SUP005,DC003,5
MED034,SUP005,DC004,6
MED034,SUP005,DC005,6
MED034,SUP005,DC006,6
MED034,SUP005,DC007,5
MED034,SUP005,DC008,7
MED035,SUP001,DC001,6
MED035,SUP001,DC002,5
MED035,SUP001,DC003,2
MED035,SUP001,DC004,8
MED035,SUP001,DC005,5
MED035,SUP001,DC006,7
MED035,SUP001,DC007,4
MED035,SUP001,DC008,8
MED036,SUP001,DC001,3
MED036,SUP001,DC002,6
MED036,SUP001,DC003,5
MED036,SUP001,DC004,8
MED036,SUP001,DC005,9
MED036,SUP001,DC006,10
MED036,SUP001,DC007,4
MED036,SUP001,DC008,8
MED036,SUP002,DC001,6
MED036,SUP002,DC002,5
MED036,SUP002,DC003,5
MED036,SUP002,DC004,6
MED036,SUP002,DC005,9
MED036,SUP002,DC006,9
MED036,SUP002,DC007,5
MED036,SUP002,DC008,8
MED037,SUP005,DC001,3
MED037,SUP005,DC002,3
MED037,SUP005,DC003,3
MED037,SUP005,DC004,6
MED037,SUP005,DC005,5
MED037,SUP005,DC006,7
MED037,SUP005,DC007,4
MED037,SUP005,DC008,5
MED038,SUP002,DC001,3
MED038,SUP002,DC002,5
MED038,SUP002,DC003,5
MED038,SUP002,DC004,8
MED038,SUP002,DC005,8
MED038,SUP002,DC006,8
MED038,SUP002,DC007,3
MED038,SUP002,DC008,5
MED039,SUP003,DC001,3
MED039,SUP003,DC002,3
MED039,SUP003,DC003,4
MED039,SUP003,DC004,8
MED039,SUP003,DC005,6
MED039,SUP003,DC006,9
MED039,SUP003,DC007,3
MED039,SUP003,DC008,8
MED039,SUP004,DC001,4
MED039,SUP004,DC002,3
MED039,SUP004,DC003,4
MED039,SUP004,DC004,5
MED039,SUP004,DC005,5
MED039,SUP004,DC006,6
MED039,SUP004,DC007,4
MED039,SUP004,DC008,6
MED040,SUP004,DC001,6
MED040,SUP004,DC002,4
MED040,SUP004,DC003,5
MED040,SUP004,DC004,6
MED040,SUP004,DC005,9
MED040,SUP004,DC006,10
MED040,SUP004,DC007,6
MED040,SUP004,DC008,7
MED040,SUP001,DC001,3
MED040,SUP001,DC002,6
MED040,SUP001,DC003,2
MED040,SUP001,DC004,7
MED040,SUP001,DC005,7
MED040,SUP001,DC006,10
MED040,SUP001,DC007,5
MED040,SUP001,DC008,4
